ticker,issuer_cik,year,quarter,n_investors,completed_at
MRK,310158,2021,1,2651,2026-05-18T04:37:38.185191+00:00
MRK,310158,2021,2,2644,2026-05-18T04:37:45.460968+00:00
MRK,310158,2021,3,2620,2026-05-18T04:37:46.332931+00:00
MRK,310158,2021,4,2874,2026-05-18T04:37:47.188062+00:00
MRK,310158,2022,1,2930,2026-05-18T04:37:54.464215+00:00
MRK,310158,2022,2,2982,2026-05-18T04:37:55.423624+00:00
MRK,310158,2022,3,2959,2026-05-18T04:37:57.799557+00:00
MRK,310158,2022,4,3196,2026-05-18T04:37:58.599384+00:00
MRK,310158,2023,1,3149,2026-05-18T04:38:05.871491+00:00
MRK,310158,2023,2,3220,2026-05-18T04:38:07.055939+00:00
MRK,310158,2023,3,3185,2026-05-18T04:38:07.998153+00:00
MRK,310158,2023,4,3394,2026-05-18T04:38:15.303889+00:00
MRK,310158,2024,1,3497,2026-05-18T04:38:16.262794+00:00
