year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,BAC,XOM,0.859502,0.246102,0.286743,0.19188,0.039584,0.081052,0.000188,0.013953,2013.625
2013,3,BAC,CVX,1.053961,0.252632,0.329226,0.24853,0.044341,0.162128,0.000219,0.016885,2013.625
2013,3,BAC,KO,0.846498,0.23213,0.260809,0.168955,0.034441,0.13548,0.000407,0.014275,2013.625
2013,3,BAC,PEP,0.946215,0.267393,0.276309,0.184667,0.039159,0.160706,0.000315,0.017666,2013.625
2013,3,BAC,WMT,0.447041,0.132255,0.137393,0.104369,0.014457,0.049156,0.000135,0.009277,2013.625
2013,3,BAC,TGT,1.251647,0.256128,0.301068,0.441415,0.039658,0.16048,0.000367,0.05253,2013.625
2013,3,BAC,T,0.849575,0.227326,0.283495,0.196976,0.039395,0.084086,0.000607,0.017691,2013.625
2013,3,BAC,VZ,0.949973,0.231659,0.309016,0.191191,0.037272,0.161495,0.000474,0.018866,2013.625
2013,3,BAC,WFC,0.975561,0.220839,0.282909,0.179677,0.03696,0.22682,0.000461,0.027896,2013.625
2013,3,BAC,INTC,1.032374,0.238947,0.283442,0.243009,0.042066,0.189858,0.001158,0.033893,2013.625
2013,3,BAC,AMZN,0.90463,0.182075,0.218592,0.150094,0.028984,0.313068,0.000702,0.011116,2013.625
2013,3,BAC,JNJ,0.977425,0.233163,0.297176,0.254912,0.038067,0.131365,0.000506,0.022235,2013.625
2013,3,BAC,PG,0.927166,0.25164,0.284143,0.197474,0.039463,0.137954,0.000747,0.015745,2013.625
2013,3,BAC,MA,0.99988,0.201078,0.303786,0.157563,0.033661,0.283662,0.003969,0.016162,2013.625
2013,3,BAC,UNH,1.190531,0.225537,0.289159,0.216616,0.041789,0.387067,0.000725,0.029638,2013.625
2013,3,BAC,GS,1.015248,0.2066,0.287507,0.243578,0.035197,0.171662,0.000685,0.070019,2013.625
2013,3,BAC,MS,0.890591,0.153842,0.194816,0.322242,0.027638,0.175823,0.000207,0.016025,2013.625
2013,3,BAC,LMT,1.582736,0.215935,0.269834,0.820581,0.026683,0.23282,0.000251,0.016631,2013.625
2013,3,BAC,NOC,1.452813,0.247089,0.529463,0.505096,0.039378,0.102656,0.000887,0.028243,2013.625
2013,3,BAC,A,0.591945,0.126612,0.228434,0.099756,0.021914,0.106439,0.000424,0.008367,2013.625
2013,3,BAC,ABBV,1.090614,0.242171,0.347378,0.203168,0.03937,0.239075,8.8e-05,0.019364,2013.625
2013,3,BAC,ABT,0.953995,0.29364,0.324934,0.199525,0.041173,0.076611,0.000435,0.017676,2013.625
2013,3,BAC,ACN,0.8817,0.234244,0.270406,0.18064,0.036359,0.145518,0.000686,0.013847,2013.625
2013,3,BAC,ADBE,1.002795,0.218109,0.262554,0.173693,0.034073,0.292658,0.005179,0.01653,2013.625
2013,3,BAC,ADI,1.06211,0.235923,0.273169,0.201221,0.039455,0.296775,0.001005,0.014563,2013.625
2013,3,BAC,ADM,1.59019,0.256683,0.265512,0.360803,0.048628,0.294666,0.00179,0.362108,2013.625
2013,3,BAC,ADP,0.976837,0.273365,0.281173,0.211486,0.040134,0.156423,0.000209,0.014046,2013.625
2013,3,BAC,ADSK,1.13016,0.3179,0.367892,0.184646,0.037817,0.199749,0.001555,0.020601,2013.625
2013,3,BAC,AEE,0.989937,0.337856,0.277749,0.233679,0.039075,0.079633,0.00085,0.021094,2013.625
2013,3,BAC,AEP,1.023768,0.237487,0.395909,0.223138,0.037837,0.107011,0.000478,0.021907,2013.625
2013,3,BAC,AES,1.205477,0.283999,0.424379,0.187962,0.03306,0.249499,0.000708,0.025868,2013.625
2013,3,BAC,AFL,1.015917,0.273466,0.286825,0.224456,0.072588,0.140555,0.00039,0.017637,2013.625
2013,3,BAC,AIG,0.998351,0.220705,0.309063,0.19472,0.038446,0.129978,0.000198,0.105241,2013.625
2013,3,BAC,AIZ,1.227773,0.323369,0.30078,0.234181,0.063002,0.260905,0.002452,0.043084,2013.625
2013,3,BAC,AKAM,1.195114,0.303716,0.277184,0.192721,0.038445,0.370572,0.000652,0.011825,2013.625
2013,3,BAC,ALL,0.962543,0.229583,0.326454,0.203279,0.037368,0.127212,0.003395,0.035252,2013.625
2013,3,BAC,AMAT,1.089164,0.243015,0.32916,0.181664,0.036568,0.27748,0.000424,0.020852,2013.625
2013,3,BAC,AME,1.132852,0.314747,0.306867,0.182938,0.037473,0.27648,0.000249,0.014098,2013.625
2013,3,PFE,AAPL,0.869573,0.213858,0.301613,0.164012,0.036799,0.133599,0.000552,0.019139,2013.625
2013,3,PFE,MSFT,0.958267,0.192111,0.32095,0.153962,0.03355,0.228698,0.000141,0.028853,2013.625
2013,3,PFE,DAL,1.025783,0.294009,0.272952,0.137874,0.025997,0.272508,0.000298,0.022145,2013.625
2013,3,PFE,JPM,1.060421,0.211785,0.376402,0.172769,0.03965,0.222397,0.000187,0.037231,2013.625
2013,3,PFE,BAC,0.8686,0.203052,0.303687,0.170942,0.036546,0.130831,0.000309,0.023234,2013.625
